nobs,IdxCd,IdxNm,TrdDt,IdxMonRet
"8547","000032","上证能源",2010-01-29,"-0.1474"
"8548","000032","上证能源",2010-02-26,"-0.0002"
"8549","000032","上证能源",2010-03-31,"0.0172"
"8550","000032","上证能源",2010-04-30,"-0.0606"
"8551","000032","上证能源",2010-05-31,"-0.1269"
"8552","000032","上证能源",2010-06-30,"-0.1240"
"8553","000032","上证能源",2010-07-30,"0.1425"
"8554","000032","上证能源",2010-08-31,"0.0042"
"8555","000032","上证能源",2010-09-30,"-0.0030"
"8556","000032","上证能源",2010-10-29,"0.2881"
"8557","000032","上证能源",2010-11-30,"-0.0856"
"8558","000032","上证能源",2010-12-31,"0.0616"
"8559","000032","上证能源",2011-01-31,"-0.0423"
"8560","000032","上证能源",2011-02-28,"0.0484"
"8561","000032","上证能源",2011-03-31,"0.0299"
"8562","000032","上证能源",2011-04-29,"-0.0097"
"8563","000032","上证能源",2011-05-31,"-0.0688"
"8564","000032","上证能源",2011-06-30,"0.0328"
"8565","000032","上证能源",2011-07-29,"-0.0082"
"8566","000032","上证能源",2011-08-31,"-0.0484"
"8567","000032","上证能源",2011-09-30,"-0.0410"
"8568","000032","上证能源",2011-10-31,"-0.0063"
"8569","000032","上证能源",2011-11-30,"-0.0726"
"8570","000032","上证能源",2011-12-30,"-0.0693"
"8571","000032","上证能源",2012-01-31,"0.0871"
"8572","000032","上证能源",2012-02-29,"0.0576"
"8573","000032","上证能源",2012-03-30,"-0.0866"
"8574","000032","上证能源",2012-04-27,"0.0725"
"8575","000032","上证能源",2012-05-31,"-0.0207"
"8576","000032","上证能源",2012-06-29,"-0.1380"
"8577","000032","上证能源",2012-07-31,"-0.0312"
"8578","000032","上证能源",2012-08-31,"-0.0576"
"8579","000032","上证能源",2012-09-28,"0.0595"
"8580","000032","上证能源",2012-10-31,"-0.0299"
"8581","000032","上证能源",2012-11-30,"-0.0798"
"8582","000032","上证能源",2012-12-31,"0.1653"
"8583","000032","上证能源",2013-01-31,"0.0388"
"8584","000032","上证能源",2013-02-28,"-0.0284"
"8585","000032","上证能源",2013-03-29,"-0.0658"
"8586","000032","上证能源",2013-04-26,"-0.0712"
"8587","000032","上证能源",2013-05-31,"0.0169"
"8588","000032","上证能源",2013-06-28,"-0.2080"
"8589","000032","上证能源",2013-07-31,"-0.0544"
"8590","000032","上证能源",2013-08-30,"0.0586"
"8591","000032","上证能源",2013-09-30,"0.0086"
"8592","000032","上证能源",2013-10-31,"0.0148"
"8593","000032","上证能源",2013-11-29,"0.0290"
"8594","000032","上证能源",2013-12-31,"-0.0996"
"8595","000032","上证能源",2014-01-30,"-0.0978"
"8596","000032","上证能源",2014-02-28,"0.0192"
"8597","000032","上证能源",2014-03-31,"-0.0330"
"8598","000032","上证能源",2014-04-30,"-0.0231"
"8599","000032","上证能源",2014-05-30,"0.0224"
"8600","000032","上证能源",2014-06-30,"0.0027"
"8601","000032","上证能源",2014-07-31,"0.0865"
"8602","000032","上证能源",2014-08-29,"0.0286"
"8603","000032","上证能源",2014-09-30,"0.0395"
"8604","000032","上证能源",2014-10-31,"-0.0144"
"8605","000032","上证能源",2014-11-28,"0.0368"
"8606","000032","上证能源",2014-12-31,"0.1729"
"8607","000032","上证能源",2015-01-30,"-0.0322"
"8608","000032","上证能源",2015-02-27,"0.0138"
"8609","000032","上证能源",2015-03-31,"0.1027"
"8610","000032","上证能源",2015-04-30,"0.2067"
"8611","000032","上证能源",2015-05-29,"-0.0422"
"8612","000032","上证能源",2015-06-30,"0.0353"
"8613","000032","上证能源",2015-07-31,"-0.2060"
"8614","000032","上证能源",2015-08-31,"-0.1590"
"8615","000032","上证能源",2015-09-30,"-0.0802"
"8616","000032","上证能源",2015-10-30,"0.0848"
"8617","000032","上证能源",2015-11-30,"-0.0238"
"8618","000032","上证能源",2015-12-31,"0.0099"
"8619","000032","上证能源",2016-01-29,"-0.1658"
"8620","000032","上证能源",2016-02-29,"0.0182"
"8621","000032","上证能源",2016-03-31,"0.0573"
"8622","000032","上证能源",2016-04-29,"0.0309"
"8623","000032","上证能源",2016-05-31,"-0.0636"
"8624","000032","上证能源",2016-06-30,"-0.0009"
"8625","000032","上证能源",2016-07-29,"0.0348"
"8626","000032","上证能源",2016-08-31,"0.0398"
"8627","000032","上证能源",2016-09-30,"-0.0168"
"8628","000032","上证能源",2016-10-31,"0.0545"
"8629","000032","上证能源",2016-11-30,"0.0052"
"8630","000032","上证能源",2016-12-30,"-0.0105"
"8631","000032","上证能源",2017-01-26,"0.0446"
"8632","000032","上证能源",2017-02-28,"-0.0025"
"8633","000032","上证能源",2017-03-31,"-0.0074"
"8634","000032","上证能源",2017-04-28,"-0.0428"
"8635","000032","上证能源",2017-05-31,"0.0021"
"8636","000032","上证能源",2017-06-30,"0.0226"
"8637","000032","上证能源",2017-07-31,"0.0617"
"8638","000032","上证能源",2017-08-31,"0.0097"
"8639","000032","上证能源",2017-09-29,"-0.0055"
"8640","000032","上证能源",2017-10-31,"-0.0357"
"8641","000032","上证能源",2017-11-30,"0.0209"
"8642","000032","上证能源",2017-12-29,"-0.0003"
"8643","000032","上证能源",2018-01-31,"0.0974"
"8644","000032","上证能源",2018-02-28,"-0.0864"
"8645","000032","上证能源",2018-03-30,"-0.0675"
"8646","000032","上证能源",2018-04-27,"-0.0145"
"8647","000032","上证能源",2018-05-31,"-0.0060"
"8648","000032","上证能源",2018-06-29,"-0.0519"
"8649","000032","上证能源",2018-07-31,"-0.0091"
"8650","000032","上证能源",2018-08-31,"-0.0051"
"8651","000032","上证能源",2018-09-28,"0.0843"
"8652","000032","上证能源",2018-10-31,"-0.0757"
"8653","000032","上证能源",2018-11-30,"-0.0698"
"8654","000032","上证能源",2018-12-28,"-0.0768"
"8655","000032","上证能源",2019-01-31,"0.0589"
"8656","000032","上证能源",2019-02-28,"0.1054"
"8657","000032","上证能源",2019-03-29,"-0.0035"
"8658","000032","上证能源",2019-04-30,"-0.0106"
"8659","000032","上证能源",2019-05-31,"-0.0572"
"8660","000032","上证能源",2019-06-28,"0.0077"
"8661","000032","上证能源",2019-07-31,"-0.0329"
"8662","000032","上证能源",2019-08-30,"-0.0502"
"8663","000032","上证能源",2019-09-30,"0.0032"
"8664","000032","上证能源",2019-10-31,"-0.0196"
"8665","000032","上证能源",2019-11-29,"-0.0111"
"8666","000032","上证能源",2019-12-31,"0.0460"
"8667","000032","上证能源",2020-01-23,"-0.0482"
"8668","000032","上证能源",2020-02-28,"-0.0812"
"8669","000032","上证能源",2020-03-31,"-0.0530"
"8670","000032","上证能源",2020-04-30,"-0.0124"
"8671","000032","上证能源",2020-05-29,"-0.0268"
"8672","000032","上证能源",2020-06-30,"-0.0299"
"8673","000032","上证能源",2020-07-31,"0.0893"
"8674","000032","上证能源",2020-08-31,"0.0130"
"8675","000032","上证能源",2020-09-30,"-0.0337"
"8676","000032","上证能源",2020-10-30,"-0.0073"
"8677","000032","上证能源",2020-11-30,"0.1313"
"8678","000032","上证能源",2020-12-31,"-0.0408"
"8679","000032","上证能源",2021-01-29,"-0.0362"
"8680","000032","上证能源",2021-02-26,"0.0800"
"8681","000032","上证能源",2021-03-31,"0.0352"
"8682","000032","上证能源",2021-04-30,"0.0117"
"8683","000032","上证能源",2021-05-31,"0.0493"
"8684","000032","上证能源",2021-06-30,"0.0375"
"8685","000032","上证能源",2021-07-30,"-0.0358"
"8686","000032","上证能源",2021-08-31,"0.2122"
"8687","000032","上证能源",2021-09-30,"0.1001"
"8688","000032","上证能源",2021-10-29,"-0.1389"
"8689","000032","上证能源",2021-11-30,"-0.0698"
"8690","000032","上证能源",2021-12-31,"0.0602"
"8816","000033","上证材料",2010-01-29,"-0.1343"
"8817","000033","上证材料",2010-02-26,"0.0296"
"8818","000033","上证材料",2010-03-31,"0.0083"
"8819","000033","上证材料",2010-04-30,"-0.0689"
"8820","000033","上证材料",2010-05-31,"-0.0845"
"8821","000033","上证材料",2010-06-30,"-0.1237"
"8822","000033","上证材料",2010-07-30,"0.1392"
"8823","000033","上证材料",2010-08-31,"0.0620"
"8824","000033","上证材料",2010-09-30,"0.0914"
"8825","000033","上证材料",2010-10-29,"0.1937"
"8826","000033","上证材料",2010-11-30,"-0.1059"
"8827","000033","上证材料",2010-12-31,"0.0228"
"8828","000033","上证材料",2011-01-31,"-0.0593"
"8829","000033","上证材料",2011-02-28,"0.1285"
"8830","000033","上证材料",2011-03-31,"0.0361"
"8831","000033","上证材料",2011-04-29,"-0.0336"
"8832","000033","上证材料",2011-05-31,"-0.0709"
"8833","000033","上证材料",2011-06-30,"0.0481"
"8834","000033","上证材料",2011-07-29,"-0.0120"
"8835","000033","上证材料",2011-08-31,"-0.0757"
"8836","000033","上证材料",2011-09-30,"-0.1351"
"8837","000033","上证材料",2011-10-31,"0.0131"
"8838","000033","上证材料",2011-11-30,"-0.0900"
"8839","000033","上证材料",2011-12-30,"-0.1394"
"8840","000033","上证材料",2012-01-31,"0.1256"
"8841","000033","上证材料",2012-02-29,"0.0855"
"8842","000033","上证材料",2012-03-30,"-0.0809"
"8843","000033","上证材料",2012-04-27,"0.0647"
"8844","000033","上证材料",2012-05-31,"0.0239"
"8845","000033","上证材料",2012-06-29,"-0.1147"
"8846","000033","上证材料",2012-07-31,"-0.0761"
"8847","000033","上证材料",2012-08-31,"-0.0376"
"8848","000033","上证材料",2012-09-28,"0.0898"
"8849","000033","上证材料",2012-10-31,"-0.0507"
"8850","000033","上证材料",2012-11-30,"-0.0465"
"8851","000033","上证材料",2012-12-31,"0.1476"
"8852","000033","上证材料",2013-01-31,"0.0344"
"8853","000033","上证材料",2013-02-28,"-0.0262"
"8854","000033","上证材料",2013-03-29,"-0.0777"
"8855","000033","上证材料",2013-04-26,"-0.0498"
"8856","000033","上证材料",2013-05-31,"0.0207"
"8857","000033","上证材料",2013-06-28,"-0.1975"
"8858","000033","上证材料",2013-07-31,"0.0135"
"8859","000033","上证材料",2013-08-30,"0.0955"
"8860","000033","上证材料",2013-09-30,"0.0015"
"8861","000033","上证材料",2013-10-31,"-0.0415"
"8862","000033","上证材料",2013-11-29,"0.0517"
"8863","000033","上证材料",2013-12-31,"-0.0623"
"8864","000033","上证材料",2014-01-30,"-0.0561"
"8865","000033","上证材料",2014-02-28,"0.0009"
"8866","000033","上证材料",2014-03-31,"0.0092"
"8867","000033","上证材料",2014-04-30,"-0.0284"
"8868","000033","上证材料",2014-05-30,"0.0072"
"8869","000033","上证材料",2014-06-30,"0.0049"
"8870","000033","上证材料",2014-07-31,"0.1177"
"8871","000033","上证材料",2014-08-29,"0.0035"
"8872","000033","上证材料",2014-09-30,"0.0625"
"8873","000033","上证材料",2014-10-31,"0.0154"
"8874","000033","上证材料",2014-11-28,"0.0741"
"8875","000033","上证材料",2014-12-31,"0.1397"
"8876","000033","上证材料",2015-01-30,"0.0222"
"8877","000033","上证材料",2015-02-27,"0.0346"
"8878","000033","上证材料",2015-03-31,"0.1539"
"8879","000033","上证材料",2015-04-30,"0.1544"
"8880","000033","上证材料",2015-05-29,"0.0633"
"8881","000033","上证材料",2015-06-30,"-0.1020"
"8882","000033","上证材料",2015-07-31,"-0.2016"
"8883","000033","上证材料",2015-08-31,"-0.1155"
"8884","000033","上证材料",2015-09-30,"-0.0809"
"8885","000033","上证材料",2015-10-30,"0.0957"
"8886","000033","上证材料",2015-11-30,"0.0174"
"8887","000033","上证材料",2015-12-31,"0.0171"
"8888","000033","上证材料",2016-01-29,"-0.2516"
"8889","000033","上证材料",2016-02-29,"0.0418"
"8890","000033","上证材料",2016-03-31,"0.1127"
"8891","000033","上证材料",2016-04-29,"-0.0045"
"8892","000033","上证材料",2016-05-31,"-0.0285"
"8893","000033","上证材料",2016-06-30,"0.0135"
"8894","000033","上证材料",2016-07-29,"0.0559"
"8895","000033","上证材料",2016-08-31,"0.0143"
"8896","000033","上证材料",2016-09-30,"-0.0319"
"8897","000033","上证材料",2016-10-31,"0.0369"
"8898","000033","上证材料",2016-11-30,"0.0616"
"8899","000033","上证材料",2016-12-30,"-0.0472"
"8900","000033","上证材料",2017-01-26,"0.0561"
"8901","000033","上证材料",2017-02-28,"0.0328"
"8902","000033","上证材料",2017-03-31,"-0.0413"
"8903","000033","上证材料",2017-04-28,"0.0010"
"8904","000033","上证材料",2017-05-31,"-0.0525"
"8905","000033","上证材料",2017-06-30,"0.0709"
"8906","000033","上证材料",2017-07-31,"0.1726"
"8907","000033","上证材料",2017-08-31,"0.0432"
"8908","000033","上证材料",2017-09-29,"-0.0042"
"8909","000033","上证材料",2017-10-31,"-0.0340"
"8910","000033","上证材料",2017-11-30,"0.0178"
"8911","000033","上证材料",2017-12-29,"0.0010"
"8912","000033","上证材料",2018-01-31,"0.0513"
"8913","000033","上证材料",2018-02-28,"-0.0285"
"8914","000033","上证材料",2018-03-30,"-0.0592"
"8915","000033","上证材料",2018-04-27,"-0.0234"
"8916","000033","上证材料",2018-05-31,"-0.0225"
"8917","000033","上证材料",2018-06-29,"-0.0513"
"8918","000033","上证材料",2018-07-31,"0.0508"
"8919","000033","上证材料",2018-08-31,"-0.0737"
"8920","000033","上证材料",2018-09-28,"-0.0115"
"8921","000033","上证材料",2018-10-31,"-0.1014"
"8922","000033","上证材料",2018-11-30,"-0.0355"
"8923","000033","上证材料",2018-12-28,"-0.0364"
"8924","000033","上证材料",2019-01-31,"0.0275"
"8925","000033","上证材料",2019-02-28,"0.1710"
