Exchflg,Mktflg,Date,Rmrf_tmv,Smb_tmv,Hml_tmv
"0","A",2010-01-29,"-0.0858","0.0641","-0.0420"
"0","A",2010-02-26,"0.0295","0.0419","-0.0069"
"0","A",2010-03-31,"0.0237","0.0305","-0.0066"
"0","A",2010-04-30,"-0.0786","0.0099","-0.0390"
"0","A",2010-05-31,"-0.0846","0.0082","-0.0416"
"0","A",2010-06-30,"-0.0781","-0.0145","0.0133"
"0","A",2010-07-30,"0.1213","0.0212","-0.0012"
"0","A",2010-08-31,"0.0243","0.0581","-0.0652"
"0","A",2010-09-30,"0.0086","-0.0104","-0.0322"
"0","A",2010-10-29,"0.1176","-0.0363","0.0216"
"0","A",2010-11-30,"-0.0456","0.0540","-0.0485"
"0","A",2010-12-31,"-0.0120","-0.0118","0.0325"
"0","A",2011-01-31,"-0.0250","-0.0305","0.0450"
"0","A",2011-02-28,"0.0493","0.0513","-0.0320"
"0","A",2011-03-31,"-0.0018","0.0172","0.0234"
"0","A",2011-04-29,"-0.0175","-0.0072","0.0074"
"0","A",2011-05-31,"-0.0639","-0.0045","-0.0125"
"0","A",2011-06-30,"0.0194","0.0116","-0.0108"
"0","A",2011-07-29,"-0.0141","0.0191","-0.0508"
"0","A",2011-08-31,"-0.0506","0.0187","-0.0235"
"0","A",2011-09-30,"-0.0939","-0.0222","0.0381"
"0","A",2011-10-31,"0.0388","0.0047","0.0125"
"0","A",2011-11-30,"-0.0552","0.0126","-0.0328"
"0","A",2011-12-30,"-0.0778","-0.0755","0.0680"
"0","A",2012-01-31,"0.0275","-0.0353","0.0175"
"0","A",2012-02-29,"0.0675","0.0481","-0.0294"
"0","A",2012-03-30,"-0.0728","0.0052","0.0056"
"0","A",2012-04-27,"0.0552","0.0196","-0.0101"
"0","A",2012-05-31,"-0.0038","0.0037","-0.0209"
"0","A",2012-06-29,"-0.0538","-0.0001","-0.0154"
"0","A",2012-07-31,"-0.0586","-0.0421","0.0066"
"0","A",2012-08-31,"-0.0268","0.0709","-0.0197"
"0","A",2012-09-28,"0.0211","-0.0275","-0.0172"
"0","A",2012-10-31,"-0.0123","0.0118","0.0173"
"0","A",2012-11-30,"-0.0635","-0.0537","0.0488"
"0","A",2012-12-31,"0.1476","0.0133","0.0161"
"0","A",2013-01-31,"0.0479","0.0464","-0.0156"
"0","A",2013-02-28,"-0.0021","0.0364","-0.0111"
"0","A",2013-03-29,"-0.0530","0.0158","-0.0136"
"0","A",2013-04-26,"-0.0269","0.0068","0.0067"
"0","A",2013-05-31,"0.0752","0.0709","-0.0222"
"0","A",2013-06-28,"-0.1376","-0.0077","-0.0016"
"0","A",2013-07-31,"0.0251","0.0438","0.0001"
"0","A",2013-08-30,"0.0493","0.0351","-0.0053"
