Date,cul_read,cul_comment,cul_post,InfoFactor
2018-05-05,616,0,1,9.26912667914942
2018-07-09,4806,20,1,25.92163656062753
2018-07-20,32150,0,4,7.486287995139275
2018-07-21,4383,9,1,10.802353227987426
2018-07-22,1365,0,1,4.02935894249309
2018-07-24,25233,86,3,137.79461898621602
2018-07-25,2108,1,1,4.161679473560886
2018-07-26,6783,0,1,4.015211857937335
2018-07-27,18482,20,2,21.638551739643145
2018-07-28,65391,35,9,135.98932318059727
2018-07-29,78972,105,34,1441.2118304751675
2018-07-30,66252,66,36,930.6621314302648
2018-07-31,125333,54,41,843.3840040062047
2018-08-01,573638,312,223,25697.182322260458
2018-08-02,143980,90,31,1010.5636707495394
2018-08-03,114877,106,16,602.7260988153728
2018-08-04,74088,56,10,197.6261430010631
2018-08-05,88097,26,46,410.0564534205418
2018-08-06,79624,92,14,433.7120158776625
2018-08-07,91144,100,13,430.7474271415115
2018-08-08,106219,68,16,355.7289439681834
2018-08-09,158548,98,36,1129.0002708309185
2018-08-10,307135,518,62,10109.531417977161
2018-08-11,158932,289,38,3415.470753196546
2018-08-12,181109,267,37,3035.8544458191377
2018-08-13,82648,127,18,697.0376421540232
2018-08-14,62030,105,19,602.014487230135
2018-08-15,142879,113,30,1010.267565475462
2018-08-16,130706,139,42,1719.9180338652304
2018-08-17,149183,178,52,2698.8781215077133
2018-08-18,110779,225,41,2665.1238180237474
2018-08-19,249501,394,89,10032.418522068869
2018-08-20,52027,65,17,316.43376493265475
2018-08-21,61175,149,21,883.1825902635536
2018-08-22,272210,309,100,8626.301371271085
2018-08-23,232360,376,94,9791.514762401453
2018-08-24,221495,570,102,15986.510176348304
2018-08-25,622968,748,367,74935.09561714694
2018-08-26,471631,336,289,26326.982261779234
2018-08-27,94005,40,19,207.73829079709873
2018-08-28,29722,16,10,45.5630630387495
2018-08-29,332251,330,225,19744.419697089725
2018-08-30,183263,205,139,7533.216207639702
2018-08-31,157083,187,143,7027.931845249374
2018-09-01,110876,121,86,2720.969424378801
2018-09-02,102824,76,78,1542.678722539112
2018-09-03,48021,97,9,228.29592470863528
2018-09-04,20724,11,8,25.165369538657856
2018-09-05,166500,166,127,5392.100896984828
2018-09-06,127635,128,107,3486.3593196130073
2018-09-07,136823,187,121,5729.544432869141
2018-09-08,88739,79,98,1952.852242314889
2018-09-09,279298,313,200,15696.36260944687
2018-09-10,31717,23,10,59.981196599232774
2018-09-11,24595,22,11,62.63063664408177
2018-09-12,70600,55,72,982.2197485303308
2018-09-13,80283,81,85,1698.4090917456901
2018-09-14,140826,105,101,2603.741948055834
2018-09-15,10535,6,4,8.124023940322871
2018-09-16,18014,15,5,20.627964473007516
2018-09-17,1452,0,1,1.764271522137685
2018-09-18,27677,30,8,60.39591026544352
2018-09-19,70821,66,76,1208.778372510722
2018-09-20,58361,58,50,697.3417251593129
2018-09-21,73731,51,72,879.1197411162204
2018-09-22,77018,48,71,813.1989938229801
2018-09-23,149658,131,81,2517.5723939597447
2018-09-24,16480,17,5,22.368346988532547
2018-09-25,11393,11,7,20.32268774258809
2018-09-26,128405,129,98,2968.4994692073783
2018-09-27,62953,53,53,659.4038629858636
2018-09-28,18342,11,13,35.6178645679986
2018-09-29,52945,21,42,207.44970358719803
2018-09-30,114433,31,33,239.64113537978537
2018-10-01,8281,2,2,3.006844047166515
2018-10-02,16036,9,2,6.372903742934106
2018-10-03,4090,0,1,1.9089053339946644
2018-10-04,2979,0,1,1.8308213874168964
2018-10-06,1902,0,1,1.7232179301571322
2018-10-07,2025,0,1,1.7325991078342924
2018-10-08,1731,0,1,1.6921958651556483
2018-10-09,3750,0,2,1.8624291936580095
2018-10-10,24626,22,12,61.86480080886544
2018-10-11,18681,25,13,75.36835471460162
2018-10-12,20625,19,14,61.9471921120656
2018-10-13,69197,21,18,87.13675178715705
2018-10-14,34826,13,13,40.081449232655146
2018-10-16,5948,10,2,6.391914170338563
2018-10-17,121485,67,69,1029.9785755090882
2018-10-18,69827,29,61,394.63738291619416
2018-10-19,84310,79,41,718.8178333059168
2018-10-20,46906,47,23,240.867503040184
2018-10-21,98396,52,43,494.68433665487044
2018-10-22,13093,6,4,7.351957504769947
2018-10-23,7796,4,3,4.5924398060807565
2018-10-24,85085,67,37,544.3734980178809
2018-10-25,52880,30,33,218.29507058473087
2018-10-26,51160,27,29,172.75778623679884
2018-10-27,215544,110,44,1053.6594151823554
2018-10-28,91076,62,37,499.53613392515774
2018-10-30,20244,19,8,35.00899781797576
2018-10-31,60611,57,28,346.732732863869
2018-11-01,65864,86,39,724.5504169543057
2018-11-02,83790,52,59,661.6592856829792
2018-11-03,135117,144,66,2040.5142453268288
2018-11-04,258552,113,113,2735.273066652518
2018-11-05,48148,21,14,65.09472735042857
2018-11-06,19317,11,8,20.861550888917634
2018-11-07,284353,85,100,1810.9974540410067
2018-11-08,94680,53,58,655.1520293395054
2018-11-09,87455,63,49,656.645042332777
2018-11-10,72086,39,50,414.85609055363636
2018-11-11,107887,44,70,652.7574557140822
2018-11-12,13338,3,4,4.530822943837737
2018-11-13,19303,6,11,15.960161595176784
2018-11-14,119609,91,76,1454.7330875732187
2018-11-15,87628,73,53,813.3802950152013
2018-11-16,70665,25,26,138.34455644093768
2018-11-17,53558,21,34,151.41301083638905
2018-11-18,29844,7,19,29.881157493872873
2018-11-19,4922,1,2,2.18601735545505
2018-11-20,8062,1,2,2.28483369769696
2018-11-21,69034,61,47,597.0900931261448
2018-11-22,44190,38,21,167.49041599754486
2018-11-23,55726,16,23,78.35114398593838
2018-11-24,53886,32,36,240.05981267552005
2018-11-25,58440,21,35,153.74507832823446
2018-11-26,6221,1,3,2.4148764810190375
2018-11-27,4120,0,2,1.7100754429297849
2018-11-28,25313,15,20,63.61570462089705
2018-11-29,53209,48,32,316.80212020728925
2018-11-30,40124,19,20,79.8715479445664
2018-12-01,34960,23,20,96.05499723330979
2018-12-02,23789,17,12,43.64220767902576
2018-12-03,20926,9,10,20.345169321875854
2018-12-04,9451,13,3,9.787432586479303
2018-12-05,191046,13,32,86.89633254318538
2018-12-06,39686,12,21,53.21515170929888
2018-12-07,29069,11,12,28.791533224378274
2018-12-08,40975,33,18,122.17621286981377
2018-12-09,46826,13,24,65.12620627945142
2018-12-10,1213,0,1,1.4309688295133118
2018-12-11,11515,4,5,5.905954787926578
2018-12-12,26978,13,21,56.90535775515268
2018-12-13,48489,29,19,112.72741921944133
2018-12-14,31387,15,22,68.20133826373193
2018-12-15,27088,17,16,56.47286278031913
2018-12-16,45916,27,22,120.85153471357815
2018-12-17,9581,12,2,6.619448367460031
2018-12-18,8032,7,4,7.372782571293986
2018-12-19,18900,4,12,11.51440004786511
2018-12-20,29579,19,15,58.70161969010574
2018-12-21,86018,15,18,55.85963293485078
2018-12-22,84661,32,15,97.42316198755023
2018-12-23,23117,19,9,35.85218401355256
2018-12-24,6122,0,4,1.724561618870362
2018-12-25,9266,6,4,6.544907259108868
2018-12-26,30692,19,16,62.011783485051176
2018-12-27,74493,15,12,37.67722659867201
2018-12-28,89082,14,13,38.05981770139813
2018-12-29,20176,8,10,17.67284444289698
2018-12-30,25505,17,11,38.70363901362148
2018-12-31,17974,11,2,6.23481764328384
2019-01-01,2555,0,2,1.5366789276548003
2019-01-02,2536,0,2,1.5334030291413046
2019-01-03,14178,6,12,15.93583741306333
2019-01-04,79137,18,16,58.40769951661602
2019-01-05,30081,9,24,44.11620868982573
2019-01-06,84207,34,61,406.0402819089812
2019-01-07,19069,6,7,10.085426852368114
2019-01-08,14403,6,5,7.688257151713888
2019-01-09,28916,23,23,104.64616159354117
2019-01-10,14902,9,10,19.307666236707018
2019-01-11,57961,32,42,262.34727823059666
2019-01-12,54574,29,25,142.32851931997675
2019-01-13,86104,27,45,236.92578192689427
2019-01-14,11375,3,4,4.118130551948697
2019-01-15,10991,3,4,4.107063521374057
2019-01-16,55595,9,23,41.965660950532715
2019-01-17,51688,5,12,13.629516347852675
2019-01-18,45290,1,10,3.9817134877425016
2019-01-19,33384,0,8,1.9994029489090441
2019-01-20,36868,8,6,11.220680194029372
2019-01-21,5762,3,1,2.233413553042955
2019-01-22,4782,1,1,1.812721479847261
2019-01-23,24980,4,6,6.523640267179822
2019-01-24,22680,0,6,1.9152857837004031
2019-01-25,23429,3,6,5.353515240411225
2019-01-26,14388,3,4,4.11170579895589
2019-01-28,3457,0,1,1.5514130743329788
2019-01-29,5450,3,1,2.2070498471192885
2019-02-01,2470,0,1,1.4844837764645784
2019-02-03,7026,0,4,1.681426280613285
2019-02-04,1585,0,1,1.397491185112472
2019-02-06,12673,6,7,9.74728880508705
2019-02-07,13163,0,10,1.795357816407544
2019-02-08,22522,15,6,18.914001828528114
2019-02-09,6950,2,6,3.9383034802242887
2019-02-10,100636,75,45,639.1688230387483
2019-02-11,46271,73,12,167.20560248346192
2019-02-12,59156,45,20,171.61680648690657
2019-02-13,108860,37,74,517.5025846850256
2019-02-14,36145,8,20,32.05932204778114
2019-02-15,34865,13,18,45.925006411667816
2019-02-16,44631,19,22,80.46474669979453
2019-02-17,42445,16,20,62.005142363099544
2019-02-18,16229,12,4,10.809218744484753
2019-02-19,5754,1,3,2.1821592905514016
2019-02-20,19393,5,13,14.002471165717918
2019-02-21,39780,12,22,51.307627713966276
2019-02-22,15969,7,9,13.56805687698164
2019-02-23,20591,9,13,23.675758381848926
2019-02-24,29295,10,17,33.59784049764899
2019-02-25,5934,3,2,2.7349864634546197
2019-02-26,9866,4,3,3.9434145596171013
2019-02-27,31202,19,23,83.1518224466914
2019-02-28,67762,44,52,426.9896703018503
2019-03-01,74522,29,41,222.713469639125
2019-03-02,31648,10,14,27.877798483357395
2019-03-03,40935,13,19,47.7236014168399
2019-03-04,7598,10,2,5.355820807616351
2019-03-05,8198,1,4,2.4063906279571663
2019-03-06,12758,24,4,19.486491018342473
2019-03-07,34317,15,21,60.088144810680774
2019-03-08,24096,5,13,13.85284711573367
2019-03-09,68234,9,13,23.618782199980235
2019-03-10,39147,12,21,48.362201001580225
2019-03-11,15363,12,9,21.649944975564942
2019-03-12,3053,0,2,1.4755591137870818
2019-03-13,58903,18,31,104.54612169496579
2019-03-14,24103,13,18,44.8140081713057
2019-03-15,35381,8,36,54.75543073815359
2019-03-16,49221,16,34,101.69962211667718
2019-03-17,46868,10,31,58.75081742452776
2019-03-19,4495,2,2,2.2714724454288637
2019-03-20,32529,18,20,67.73698687640568
2019-03-21,55488,28,44,227.13129781060073
2019-03-22,27882,23,18,77.46527817453979
2019-03-23,34841,14,23,60.660551348979055
2019-03-24,28291,8,20,31.040407953591185
2019-03-25,4702,0,2,1.5405450569514558
2019-03-27,37614,11,39,80.01642849250482
2019-03-28,25618,9,24,41.13956136581949
2019-03-29,67380,24,48,211.42765415529897
2019-03-30,38784,8,21,32.435065479246155
2019-03-31,50911,28,23,118.85853999029068
2019-04-01,5100,1,2,1.911186733890841
2019-04-02,16194,5,1,2.662905892865815
2019-04-03,10280,2,3,2.7597864111012242
2019-04-04,15423,6,6,8.26062234529181
2019-04-05,92403,58,43,453.1089712689186
2019-04-06,83205,46,39,326.2609795347615
2019-04-07,55602,49,4,37.36924347661472
2019-04-08,36614,35,8,52.42634841385973
2019-04-09,52662,26,16,76.98070488720454
2019-04-10,108736,49,62,549.5683679131171
2019-04-11,110506,56,44,445.8186299191829
2019-04-12,92226,24,42,183.4557407371956
2019-04-13,81348,27,35,171.97648908473147
2019-04-14,45208,12,18,40.74368227002821
2019-04-15,43475,11,11,23.647955734732438
2019-04-16,9357,3,4,3.794580470913949
2019-04-17,210856,45,71,575.1951598065762
2019-04-18,17702,8,8,13.223129380226638
2019-04-19,54597,34,19,117.65168564683097
2019-04-20,60533,4,23,18.436795418933563
2019-04-21,28474,7,10,14.354671557647269
2019-04-22,14444,2,5,3.4993947470251197
2019-04-23,13426,75,3,41.887700605909394
2019-04-24,43286,144,13,336.0649189769111
2019-04-25,33400,9,14,24.334847985236248
2019-04-26,69133,47,18,152.8029435258088
2019-04-27,155723,53,21,200.41513736489625
2019-04-28,58824,38,14,96.67161306238238
2019-04-29,1221,2,1,1.6205684180445643
2019-05-01,1950,0,1,1.3470970409121532
2019-05-02,36223,14,11,29.230375293279856
2019-05-03,84800,42,28,210.85125344551085
2019-05-04,36933,13,15,36.4728591994658
2019-05-05,47400,22,18,72.14274774463105
2019-05-06,4935,1,2,1.8618368635835416
2019-05-07,2031,5,2,3.1205281225925114
2019-05-08,95334,106,24,452.3768465822082
2019-05-09,16055,7,6,9.143553617208294
2019-05-10,21300,29,12,63.289785641868534
2019-05-11,44037,128,22,499.46138187433866
2019-05-12,19441,150,12,319.5987676943726
2019-05-13,5168,105,8,149.75053613688598
2019-05-14,6943,46,7,58.351425321014084
2019-05-15,36940,124,15,329.7039476223752
2019-05-16,85778,26,31,143.98361422221242
2019-05-17,125430,36,35,223.89099744376097
2019-05-18,31760,61,12,130.61591897893288
2019-05-19,19040,87,9,139.41582302516986
2019-05-20,9687,27,5,25.33735248933575
2019-05-21,14622,165,13,378.41442104856156
2019-05-22,21424,31,8,45.28139030095259
2019-05-23,73338,52,12,111.43042460265642
2019-05-24,24762,7,7,10.364544255553607
2019-05-25,33915,152,14,374.6960445756377
2019-05-26,31336,209,16,587.4083574802498
2019-05-27,21666,182,16,511.39660273004614
2019-05-28,7006,1,2,1.8986552969999784
2019-05-31,89165,17,20,61.42991305421345
2019-06-01,34373,2,15,7.06638497081844
2019-06-02,31390,30,9,48.954379243751546
2019-06-03,10267,0,5,1.611976735455329
2019-06-04,18841,10,5,10.437865253329123
2019-06-05,80424,9,15,25.50217669467764
2019-06-06,15581,3,7,5.340588441064925
2019-06-07,41339,9,15,25.357740727422847
2019-06-08,117836,49,37,317.5448199598109
2019-06-09,80408,15,22,59.361898243121246
2019-06-10,6813,0,2,1.5343977646882625
2019-06-12,58515,15,17,46.21073106301336
2019-06-13,30876,4,10,8.740862203535984
2019-06-14,14646,1,5,2.532429832008493
2019-06-15,36605,29,9,47.094356908521114
2019-06-16,12892,3,4,3.721089693701614
2019-06-17,11675,4,3,3.701898759106981
2019-06-18,10103,8,3,5.752946597154043
2019-06-19,50073,3,13,8.623097134114225
2019-06-20,66947,10,5,10.571593655847806
2019-06-21,27870,2,9,4.881776525156752
2019-06-22,51178,4,17,13.624413804970553
2019-06-23,40023,5,13,13.056607009690872
2019-06-24,13296,0,5,1.6390939788427747
2019-06-25,7112,0,3,1.5302952034186115
2019-06-26,68037,1,19,5.1952647503278495
2019-06-27,19154,4,3,3.7676444434338365
2019-06-28,22110,1,9,3.2736242314757353
2019-06-29,40625,3,16,10.091378377136035
2019-06-30,18952,0,8,1.6949713526535652
2019-07-01,20887,0,11,1.7108198819981781
2019-07-02,19593,0,9,1.6989495995753159
2019-07-03,51341,4,22,16.983652224979846
2019-07-04,86195,9,25,40.591192872996665
2019-07-05,36518,11,9,18.796015436620856
2019-07-06,24387,5,9,9.453141288633047
2019-07-07,71799,30,10,53.358695235570714
2019-07-08,15266,0,7,1.651030230349283
2019-07-09,11201,1,4,2.282367734063183
2019-07-10,31888,3,12,7.939198999339593
2019-07-11,33881,10,11,20.609176654480212
2019-07-12,69806,6,19,21.40679042157922
2019-07-13,57898,26,19,86.32901649151415
2019-07-14,86059,13,27,61.91904693296889
2019-07-15,5527,0,2,1.4718147752839117
2019-07-17,17058,3,6,4.73621539731055
2019-07-18,12004,0,5,1.6026993905777736
2019-07-19,39058,1,15,4.361261449882373
2019-07-20,32486,5,6,6.884652723978126
2019-07-21,64023,2,21,9.041460004059156
2019-07-22,10463,0,5,1.5762109013354506
2019-07-23,12044,3,6,4.663272840167721
2019-07-24,42350,4,20,15.423243010270957
2019-07-25,39167,7,17,22.03467197030067
2019-07-26,66653,10,23,40.98148196171897
2019-07-27,41772,3,15,9.452773036205732
2019-07-28,38838,1,15,4.341604692154097
2019-07-29,4583,0,2,1.4308955115573903
2019-07-30,10839,0,5,1.5762408061057485
2019-07-31,35348,0,15,1.7759457557749754
2019-08-01,76959,13,23,52.585837090360776
2019-08-02,60838,3,19,11.522990243151247
2019-08-03,57156,7,17,22.006027825242054
2019-08-04,45773,2,7,4.186040003524935
2019-08-05,8692,0,3,1.534526381012284
2019-08-06,3839,2,1,1.7338669881127586
2019-08-07,15973,0,7,1.6359680715860563
2019-08-08,32273,0,12,1.75404686874153
2019-08-09,35729,16,7,20.68430699907625
2019-08-10,111565,19,33,107.79790634660324
2019-08-11,58932,8,16,23.449618887665668
2019-08-12,7692,6,2,3.5328022898198825
2019-08-13,5972,0,2,1.465719018345701
2019-08-14,35309,1,11,3.6179114203536056
2019-08-15,38514,8,10,15.251915933964382
2019-08-16,30118,4,8,7.123180406870147
2019-08-17,45203,2,12,5.842186260366534
2019-08-18,27384,1,8,3.0641651611402994
2019-08-19,1143,0,1,1.1839685181323778
2019-08-20,8030,0,3,1.510940079618555
2019-08-21,27012,3,6,4.7375979658266605
2019-08-22,12004,1,4,2.248731400444335
2019-08-23,13038,0,5,1.5903029128669244
2019-08-24,42326,9,15,24.43433148618624
2019-08-25,25057,6,8,9.747325400978958
