Date,Open,High,Low,Close,Volume
1993-04-30,1355.050,1363.800,1316.640,1358.780,7546500
1993-05-03,1376.860,1379.110,1351.350,1356.160,9766800
1993-05-04,1355.340,1407.040,1245.690,1255.350,17789600
1993-05-05,1249.450,1297.540,1232.210,1266.420,8563900
1993-05-06,1283.680,1283.680,1146.020,1159.390,9802300
1993-05-07,1169.970,1210.460,1152.790,1189.090,8706600
1993-05-10,1203.840,1203.840,1065.370,1074.210,6507700
1993-05-11,1070.810,1086.860,1045.570,1086.630,5014700
1993-05-12,1090.310,1119.120,1079.650,1089.470,6171800
1993-05-13,1085.920,1120.910,1085.920,1120.910,3041400
1993-05-14,1124.410,1132.840,1093.200,1096.640,3491300
1993-05-17,1090.870,1090.870,1040.360,1069.080,2367600
1993-05-18,1069.080,1077.250,1035.360,1048.290,1256800
1993-05-19,1042.690,1066.580,1042.690,1061.120,1014000
1993-05-20,1061.120,1105.960,1061.120,1096.170,2430500
1993-05-21,1099.550,1103.290,1058.450,1066.770,1422000
1993-05-24,1066.280,1066.280,935.270,946.940,4255800
1993-05-25,949.510,950.360,897.900,932.560,4635400
1993-05-26,944.540,952.060,931.730,937.780,2600300
1993-05-27,940.900,940.980,877.920,902.130,3122500
1993-05-28,901.400,920.420,895.200,907.680,2414400
1993-05-31,914.920,915.220,829.740,839.610,14558400
1993-06-01,837.330,852.730,754.830,852.730,8297700
1993-06-02,863.370,1023.360,814.380,1023.360,18892800
1993-06-03,1033.090,1078.350,881.280,955.440,16643700
1993-06-04,948.570,950.260,891.450,915.580,9704600
1993-06-07,917.300,1004.550,880.290,1004.550,6095700
1993-06-08,982.960,1030.830,973.200,986.490,12074100
1993-06-09,985.100,989.760,954.700,974.570,3295700
1993-06-10,982.740,982.740,935.120,937.630,3526300
1993-06-11,937.630,949.620,914.210,943.220,3579900
1993-06-14,943.470,943.800,892.490,895.680,2912600
1993-06-15,896.340,907.000,867.830,904.530,2774300
1993-06-16,906.370,911.930,893.720,906.990,2006500
1993-06-17,896.530,923.980,893.040,896.530,1196300
1993-06-18,896.530,904.190,893.650,896.990,1250000
1993-06-21,897.020,897.020,866.320,878.610,2249600
1993-06-22,878.610,885.400,876.530,880.270,545900
1993-06-23,880.270,886.100,876.200,881.910,558400
1993-06-24,881.910,882.440,859.390,867.960,532600
1993-06-25,868.480,919.090,867.340,888.420,1533900
1993-06-28,888.420,894.010,867.720,883.930,15195700
1993-06-29,890.510,957.400,890.510,946.710,18794000
1993-06-30,968.120,969.430,901.200,913.480,12253500
1993-07-01,907.550,907.550,869.480,886.180,6561900
1993-07-02,886.180,892.520,871.610,873.570,3408400
1993-07-05,864.720,866.940,825.570,833.190,4642300
1993-07-06,816.740,816.740,775.220,775.220,5237300
1993-07-07,763.670,788.480,743.340,782.640,4278800
1993-07-08,785.160,789.820,772.610,776.000,2029800
1993-07-09,776.000,776.000,740.680,745.460,2959200
1993-07-12,733.430,748.670,718.060,738.370,3344200
1993-07-13,745.300,764.940,739.700,754.500,2465300
1993-07-14,754.500,754.500,716.950,718.870,2647100
1993-07-15,718.610,732.320,712.840,721.630,1437100
1993-07-16,725.830,732.110,721.810,726.130,1388800
1993-07-19,726.130,730.560,716.020,716.020,1700000
1993-07-20,706.080,720.990,677.900,684.340,2050900
1993-07-21,693.640,699.220,685.340,686.630,1296800
1993-07-22,686.890,693.380,678.160,693.380,1082900
1993-07-23,693.380,695.530,680.910,688.500,1241600
1993-07-26,688.500,688.500,661.550,661.550,3084200
1993-07-27,659.590,679.780,653.620,671.490,3120600
1993-07-28,673.690,697.060,670.310,679.500,3632200
1993-07-29,687.150,693.800,682.010,693.800,2095900
1993-07-30,703.750,801.430,703.750,787.160,15580100
1993-08-02,803.210,825.180,743.870,747.040,12072000
1993-08-03,746.840,760.410,733.230,736.270,3524100
1993-08-04,737.020,764.010,722.090,754.630,4097600
1993-08-05,766.490,779.790,743.880,758.070,6133200
1993-08-06,721.420,775.440,721.420,768.450,2310100
1993-08-09,791.890,808.580,778.880,806.710,9651300
1993-08-10,820.280,822.220,771.790,774.970,8304200
1993-08-11,771.850,790.740,771.850,790.480,4741700
1993-08-12,803.720,817.910,798.560,812.230,9118300
1993-08-13,825.250,853.180,766.310,852.130,19785600
1993-08-16,881.130,946.730,876.400,943.610,15769500
1993-08-17,965.220,965.220,900.290,904.200,20883800
1993-08-18,904.200,925.420,883.730,883.730,13554200
1993-08-19,880.350,926.010,879.680,916.670,8134300
1993-08-20,922.400,925.730,883.170,895.940,10937700
1993-08-23,886.430,888.910,839.880,840.440,8346700
1993-08-24,828.570,852.090,818.670,843.660,5104600
1993-08-25,860.250,871.650,855.710,862.850,3956700
1993-08-26,872.500,872.500,843.690,854.560,3244500
1993-08-27,854.570,860.470,836.280,852.480,3596800
1993-08-30,845.920,873.150,841.870,860.910,2411800
1993-08-31,860.690,874.080,856.540,859.160,2243200
1993-09-01,859.060,864.430,853.780,856.530,5939100
1993-09-02,857.050,871.210,855.940,871.210,2609200
1993-09-03,879.140,899.380,872.540,895.380,5581900
1993-09-06,912.160,921.470,905.630,921.470,6872200
1993-09-07,909.050,918.000,878.440,883.720,5078500
1993-09-08,884.390,896.070,866.130,879.340,4428700
1993-09-09,886.620,890.220,835.150,873.120,2356600
1993-09-10,869.710,880.550,869.090,874.990,2603600
1993-09-13,860.670,865.830,842.690,852.730,3981800
1993-09-14,840.460,847.080,831.630,841.980,2180700
1993-09-15,847.090,850.970,842.380,848.910,1344800
1993-09-16,847.320,852.010,844.250,845.930,1884600
1993-09-17,844.050,855.480,841.440,853.610,877400
1993-09-20,844.150,848.610,837.800,839.630,1750100
1993-09-21,841.820,858.730,841.820,850.870,1976900
1993-09-22,853.460,855.280,843.230,843.230,1063500
1993-09-23,844.880,852.210,844.880,846.850,1840000
1993-09-24,832.650,867.570,821.690,837.080,9681200
1993-09-27,839.730,842.630,834.210,837.800,5958600
1993-09-28,841.500,845.050,837.200,845.050,5964400
1993-09-29,849.920,856.480,832.530,834.310,5133400
1993-09-30,836.000,842.410,829.960,834.920,2319700
1993-10-04,842.250,845.890,831.930,834.930,2190900
1993-10-05,833.950,836.280,824.930,826.160,1508900
1993-10-06,824.430,854.710,818.770,841.130,4383000
1993-10-07,843.140,912.610,834.130,838.720,29450000
1993-10-08,854.100,856.260,817.180,820.560,14687100
1993-10-11,822.510,835.980,815.010,819.160,6162300
1993-10-12,819.600,831.580,816.520,817.590,5022000
1993-10-13,819.910,820.380,808.140,809.400,4528300
1993-10-14,808.010,809.710,798.060,803.300,4640800
1993-10-15,803.860,815.650,801.380,806.740,2028700
1993-10-18,804.370,804.470,787.290,789.750,2600500
1993-10-19,792.220,800.680,789.980,791.080,2308700
1993-10-20,794.950,805.660,790.720,800.650,2526200
1993-10-21,801.260,807.180,786.260,786.260,3474600
1993-10-22,787.210,845.020,777.390,792.510,13251600
1993-10-25,767.850,781.990,754.570,757.470,6373800
1993-10-26,764.210,771.140,757.910,768.640,9565500
1993-10-27,787.830,794.870,764.620,766.260,20536800
